🐠stake.fish,0.099630,115000000000uatom,11503830497191uatom
Zero Knowledge Validator (ZKV),0.081550,9000000uatom,9416181093020uatom
SG-1,0.080310,2642000000uatom,9273055991956uatom
Binance Node,0.070928,6999300081uatom,8189729335093uatom
Everstake,0.057132,277900000uatom,6596783079356uatom
GAME,0.056611,1000000uatom,6536583217638uatom
Paradigm,0.056086,2000000uatom,6475951643754uatom
P2P.ORG - P2P Validator,0.032085,4963825622uatom,3704722268905uatom
Kraken,0.030270,9000000uatom,3495149542348uatom
MultiChain ventures,0.028305,19998000uatom,3268277259761uatom
NO! Fee to 2025 💸 | melea.xyz,0.026002,30111111uatom,3002350456590uatom
Provalidator,0.024116,10000000uatom,2784586837383uatom
StakeLab,0.022154,1055000uatom,2557986665001uatom
Certus One,0.020715,63620000uatom,2391896438510uatom
zugerselfdelegation,0.019206,1000000uatom,2217681861526uatom
Imperator.co,0.018080,3000000uatom,2087582150232uatom
iqlusion,0.016230,20000000000uatom,1874054374410uatom
Swiss Staking,0.013608,1000000uatom,1571255721541uatom
CoinoneNode,0.013381,138381363196uatom,1545035937134uatom
Blockpower,0.013196,4039500002uatom,1523640018796uatom
Staking Facilities,0.012033,290799082078uatom,1389416939212uatom
strangelove-ventures,0.011667,3900008uatom,1347158101770uatom
Staked,0.011089,103226uatom,1280352268932uatom
B-Harvest,0.010116,1000000uatom,1168000318634uatom
Post Road,0.008713,1uatom,1006071504511uatom
ShapeShift DAO,0.008701,25000000uatom,1004701798466uatom
Ledger,0.007012,1000000uatom,809631962898uatom
IRISnet-Bianjie,0.006694,59700000004uatom,772925423074uatom
OKEx Pool,0.006091,5000uatom,703345429840uatom
🇨🇭 Vortex.live 🟢,0.005654,20000000uatom,652799771036uatom
Blockdaemon,0.005502,10000000uatom,635284736161uatom
Latent Iron,0.004992,2000000uatom,576359979213uatom
Nocturnal Labs,0.004949,1999900uatom,571413108403uatom
InfStones,0.004813,1722777uatom,555751477314uatom
Simply Staking,0.004737,22343863799uatom,546989081423uatom
WeStaking,0.004233,36000000000uatom,488753812177uatom
Upbit Staking,0.003850,23551000000uatom,444554986687uatom
Ubik Capital 0%Fee,0.003846,2335000000uatom,444092574659uatom
e-Money.com // validator.network,0.003782,9272040049uatom,436651797424uatom
天照☀,0.003722,426000000uatom,429764274973uatom
"	EZStaking.io",0.003517,740632434uatom,406062204983uatom
Cypher Core,0.003495,0uatom,403538732366uatom
" 0% Fee 🌻 Sunflower",0.003407,1000000uatom,393357644646uatom
Onbloc Node,0.003171,1000000uatom,366094401860uatom
BlockHunters 🎯,0.002969,80000000uatom,342768970096uatom
Stakewolle.com | Auto-compound,0.002798,1000000uatom,323091146875uatom
nylira.net,0.002694,26568361885uatom,311020465472uatom
" polkachu.com",0.002648,1477001060uatom,305798366887uatom
Notional,0.002609,1000000uatom,301286957511uatom
cosmosgbt,0.002547,1999800uatom,294141556701uatom
RockawayX Infra,0.002544,11000000uatom,293699300190uatom
Witval,0.002344,12391551684uatom,270652769837uatom
pe4x72,0.002158,100000000015uatom,249222299322uatom
" WhisperNode🤐",0.001992,62110000uatom,230036180813uatom
Stakin,0.001893,5792397000uatom,218608921194uatom
COS_Validator,0.001753,2000000uatom,202423002977uatom
🐡grant.fish,0.001730,100000000000uatom,199773140967uatom
ChainUp,0.001630,1000000uatom,188218008190uatom
Twinstake-Validator,0.001609,1000000uatom,185755532926uatom
in3s.com,0.001585,10716657840uatom,183067734817uatom
Smart Stake,0.001575,1556000000uatom,181893978840uatom
Just-Mining,0.001575,1998800uatom,181882901709uatom
PUPMØS,0.001496,10000000uatom,172747806177uatom
coinhall.org 📈🔄,0.001414,1000000uatom,163237449426uatom
Ztake.org,0.001405,149985000uatom,162223464337uatom
Klub Staking,0.001404,1000000uatom,162148637776uatom
cros-nest,0.001363,1147900001uatom,157436507862uatom
jabbey,0.001352,0uatom,156108100547uatom
commercio.network,0.001322,3948000000uatom,152615916813uatom
GATA DAO,0.001321,77000000uatom,152548130612uatom
Moonstake,0.001190,999600uatom,137461004164uatom
CEX.IO ❤️🇺🇦,0.001162,1000000uatom,134115675236uatom
blockscape,0.001130,6872095134uatom,130429907280uatom
Ping,0.001121,15600000000uatom,1294801